epoch,global_step,drift_pct,P_sink,E_src,residual,dTWC_dt,P_ratio
54,8101,0.42874999999999996,17189750000.0,-17255500000.0,71494725.0,-5806000.0,1.0042875
54,8151,0.84345,16937250000.0,-17083500000.0,142685250.0,3598250.0,1.0084345
54,8201,0.24357499999999999,17254000000.0,-17552500000.0,46958625.0,251527500.0,1.00243575
55,8251,-0.040275,17831250000.0,-17693000000.0,-8195000.0,-130043250.0,0.99959725
55,8301,0.163875,17107750000.0,-17383000000.0,30593500.0,244720250.0,1.0016387500000001
55,8351,0.06839999999999999,17053750000.0,-17204000000.0,12569750.0,137856750.0,1.0006840000000001
56,8401,2.331975,16992750000.0,-17120500000.0,393262500.0,-265840000.0,1.02331975
56,8451,-0.227925,17080250000.0,-17151500000.0,-40124175.0,111879500.0,0.9977207499999999
56,8501,0.7471,17306000000.0,-17400250000.0,129001500.0,-34696500.0,1.007471
57,8551,1.167075,17138500000.0,-17380000000.0,200327500.0,41107500.0,1.01167075
57,8601,0.491025,16821000000.0,-16887250000.0,80785500.0,-14761000.0,1.00491025
57,8651,-0.464025,17218750000.0,-17405000000.0,-82502550.0,268647500.0,0.9953597500000001
58,8701,-0.3971,17374750000.0,-17582000000.0,-72309250.0,279460000.0,0.996029
58,8751,1.48965,16991250000.0,-17088000000.0,247522500.0,-150476500.0,1.0148965
58,8801,-0.474525,16889250000.0,-17097000000.0,-77623500.0,285629250.0,0.99525475
59,8851,-0.27025,17119500000.0,-17274000000.0,-48646000.0,203145000.0,0.9972975
59,8901,0.375275,16885250000.0,-17115250000.0,62848075.0,167470525.0,1.0037527499999999
59,8951,-0.4893,17217750000.0,-17401750000.0,-86295250.0,270336812.5,0.995107
60,9001,-0.353275,17227750000.0,-17476750000.0,-61553250.0,310461250.0,0.99646725
60,9051,-0.62505,17171750000.0,-17307250000.0,-108635000.0,244106500.0,0.9937495000000001
60,9101,-0.015,17318000000.0,-17509000000.0,-5679775.0,196901250.0,0.99985
61,9151,-1.5321500000000001,17174250000.0,-17283250000.0,-263480000.0,372400000.0,0.9846785
61,9201,-0.4994,17066750000.0,-17185250000.0,-86739750.0,205300500.0,0.995006
61,9251,-0.7119,17258000000.0,-17390250000.0,-123487000.0,255920000.0,0.992881
62,9301,-0.077425,17156250000.0,-17401750000.0,-15674950.0,260897500.0,0.99922575
62,9351,-0.387825,17184750000.0,-17400000000.0,-67167500.0,282472500.0,0.9961217499999999
62,9401,-1.592,17126500000.0,-17491750000.0,-271387500.0,636738750.0,0.9840800000000001
63,9451,-0.12905,17358250000.0,-17509250000.0,-23908675.0,175083075.0,0.9987094999999999
63,9501,0.44037499999999996,17149500000.0,-17413750000.0,75746250.0,188546750.0,1.00440375
63,9551,-0.027725,17224750000.0,-17104000000.0,-6787000.0,-114077750.0,0.99972275
64,9601,0.732375,17181000000.0,-17282500000.0,125262000.0,-23955000.0,1.00732375
64,9651,0.2041,17371000000.0,-17337000000.0,35614650.0,-69873750.0,1.002041
64,9701,0.20329999999999998,17266500000.0,-17475000000.0,31339750.0,177080250.0,1.002033
65,9751,-0.430075,17197750000.0,-17362500000.0,-75874500.0,240864250.0,0.99569925
65,9801,0.836925,17038500000.0,-17254750000.0,142200750.0,73985525.0,1.0083692499999999
65,9851,0.482675,17115250000.0,-17214250000.0,83158500.0,16302000.0,1.00482675
66,9901,0.19542500000000002,17549250000.0,-17395750000.0,32650000.0,-186452500.0,1.00195425
66,9951,-1.0025249999999999,17119000000.0,-17244000000.0,-171885000.0,296715000.0,0.98997475
66,10001,1.010275,17223000000.0,-17488000000.0,171925000.0,92709775.0,1.01010275
67,10051,-0.941775,17483750000.0,-17524000000.0,-164432500.0,204691500.0,0.99058225
67,10101,-0.319375,17031500000.0,-17123250000.0,-56519425.0,148380000.0,0.99680625
67,10151,-0.19117500000000004,17121000000.0,-17224750000.0,-35807250.0,139768750.0,0.99808825
68,10201,-0.57995,17248500000.0,-17335000000.0,-100873250.0,187477500.0,0.9942005
68,10251,-0.31295,17163750000.0,-17533500000.0,-53842250.0,423544500.0,0.9968705
68,10301,-0.579475,17190500000.0,-17377250000.0,-99646000.0,286345500.0,0.99420525
69,10351,0.37115,17092750000.0,-17124250000.0,62173750.0,-30847500.0,1.0037115
69,10401,0.85355,17119500000.0,-17466500000.0,147086000.0,199763500.0,1.0085355
69,10451,0.210925,17054500000.0,-17293000000.0,37715825.0,200639750.0,1.00210925
70,10501,-1.267425,17573250000.0,-17439250000.0,-223525000.0,89140500.0,0.98732575
70,10551,0.841025,17837500000.0,-18289000000.0,150172500.0,301352500.0,1.00841025
70,10601,1.7099,17084500000.0,-17261750000.0,292105000.0,-114892500.0,1.017099
71,10651,-0.950575,17156750000.0,-17291250000.0,-161745000.0,296282500.0,0.99049425
71,10701,1.179425,16983500000.0,-17131500000.0,199280000.0,-51571550.0,1.01179425
71,10751,0.97685,17001750000.0,-17365000000.0,165226750.0,197871000.0,1.0097684999999998
72,10801,-1.0186250000000001,17040750000.0,-17333500000.0,-174295000.0,467222500.0,0.9898137499999999
72,10851,-1.4223,17033750000.0,-17026750000.0,-243115000.0,236077000.0,0.985777
72,10901,-1.742025,17262250000.0,-17300750000.0,-303200000.0,342077500.0,0.98257975
73,10951,2.1805250000000003,17169500000.0,-17284750000.0,374755000.0,-259611500.0,1.0218052499999999
73,11001,-0.845925,17384000000.0,-17440000000.0,-148597250.0,205029500.0,0.99154075
73,11051,-0.4714,17403000000.0,-17492500000.0,-80309750.0,169997750.0,0.995286
74,11101,-0.5681,17327250000.0,-17442500000.0,-96677250.0,211631900.0,0.994319
74,11151,-0.32865,18016000000.0,-18255750000.0,-58629000.0,298515000.0,0.9967135
74,11201,-1.005475,17352000000.0,-17240000000.0,-175362500.0,63207775.0,0.98994525
75,11251,-0.7160500000000001,17115250000.0,-17266750000.0,-122757500.0,274174500.0,0.9928395
75,11301,-0.377475,17091250000.0,-17307750000.0,-66294250.0,282912500.0,0.99622525
75,11351,-0.03245000000000002,17107500000.0,-17259500000.0,-5110500.0,157584750.0,0.9996754999999999
76,11401,-0.542675,17182750000.0,-17338500000.0,-93624250.0,249717500.0,0.99457325
76,11451,0.4507,17126500000.0,-17349000000.0,76156000.0,146780025.0,1.004507
76,11501,-0.04549999999999999,17156250000.0,-17322000000.0,-9898000.0,175350250.0,0.999545
77,11551,-1.47915,17182000000.0,-17379250000.0,-254377500.0,451375000.0,0.9852084999999999
77,11601,-0.70145,17137000000.0,-17304250000.0,-120926000.0,288125000.0,0.9929855
77,11651,-0.6115,17184000000.0,-17230250000.0,-106904250.0,153127500.0,0.993885
78,11701,-0.735575,17183500000.0,-17304250000.0,-126614500.0,247043000.0,0.99264425
78,11751,0.5333,17135500000.0,-17210250000.0,90194500.0,-15240350.0,1.005333
78,11801,0.119125,17171500000.0,-17250000000.0,17491525.0,60940500.0,1.00119125
79,11851,-0.4762,17145000000.0,-17272750000.0,-81468500.0,209194250.0,0.9952380000000001
79,11901,-0.067375,17084750000.0,-17114500000.0,-13163215.0,42752000.0,0.99932625
79,11951,-1.963075,17182250000.0,-17151250000.0,-338295000.0,307460000.0,0.98036925
80,12001,-1.7027,17564500000.0,-17390500000.0,-299627500.0,125582250.0,0.982973
80,12051,0.8258749999999999,17185500000.0,-17547500000.0,139836250.0,222042750.0,1.00825875
80,12101,0.7548,17112500000.0,-17262500000.0,128767750.0,21063000.0,1.0075479999999999
81,12151,1.978875,17127000000.0,-17328250000.0,339582500.0,-138385000.0,1.01978875
81,12201,0.469775,17153250000.0,-17284250000.0,78564602.5,52380000.0,1.00469775
81,12251,-0.2998,17191250000.0,-17189750000.0,-53407250.0,51860250.0,0.997002
82,12301,-0.8427,17359250000.0,-17499750000.0,-147251500.0,288107000.0,0.991573
82,12351,1.07115,18070500000.0,-18266250000.0,193715000.0,1980000.0,1.0107115
82,12401,0.926925,17111000000.0,-17491750000.0,158247500.0,222555000.0,1.00926925
83,12451,1.7872249999999998,17089000000.0,-17130000000.0,304377500.0,-263022500.0,1.01787225
83,12501,0.8928,17948750000.0,-18277750000.0,160140000.0,168777500.0,1.008928
83,12551,-0.9683999999999999,17198500000.0,-17287250000.0,-165355000.0,254320000.0,0.990316
84,12601,1.01925,17203750000.0,-17298750000.0,176285000.0,-81324750.0,1.0101925
84,12651,0.047375,17205250000.0,-17446750000.0,8608775.0,232557500.0,1.00047375
84,12701,0.1467,17154000000.0,-17289000000.0,25957290.0,108958250.0,1.0014669999999999
85,12751,0.19974999999999998,17426750000.0,-17397500000.0,32296475.0,-61457500.0,1.0019975
85,12801,-0.238325,17994000000.0,-18277250000.0,-42894250.0,326490000.0,0.9976167499999999
